"experiment","alpha","gamma","sign_gamma","abs_z","q_factor","q","log_val_double","log_val_mpfr","double_returned_nan","rel_err"
"cdf",0.5,-18,-1,18,0.333333333333333,0.00923085635623622,-49.6018211350695,-0.828533943296277,FALSE,58.8669753199625
"cdf",0.5,-18,-1,18,1,0.0276925690687087,-49.1539311167218,-0.380643924948633,FALSE,128.133628294094
"cdf",0.5,-18,-1,18,3,0.083077707206126,-48.8592076301576,-0.0859204383844113,FALSE,567.656405261337
"cdf",0.5,-15,-1,15,0.333333333333333,0.0110621625351297,-24.1603320239833,-0.828152070671951,FALSE,28.1737868920377
"cdf",0.5,-15,-1,15,1,0.0331864876053891,-23.7123663602943,-0.380186406983006,FALSE,61.3703686527494
"cdf",0.5,-15,-1,15,3,0.0995594628161673,-23.4176669681516,-0.0854870148403328,FALSE,272.932444733152
"cdf",0.5,-10,-1,10,0.333333333333333,0.0165032522654641,-0.826531717297776,-0.826666381228452,FALSE,0.000162899972387572
"cdf",0.5,-10,-1,10,1,0.0495097567963922,-0.378260655705651,-0.378395319636327,FALSE,0.00035588159706831
"cdf",0.5,-10,-1,10,3,0.148529270389177,-0.0836582174021858,-0.0837928813328614,FALSE,0.00160710466728824
"cdf",0.5,-8,-1,8,0.333333333333333,0.0205176042696101,-0.825274823912541,-0.825274812138672,FALSE,1.4266605142763e-08
"cdf",0.5,-8,-1,8,1,0.0615528128088303,-0.376700999494831,-0.376700987720961,FALSE,3.12552143075781e-08
"cdf",0.5,-8,-1,8,3,0.184658438426491,-0.0821941721535315,-0.0821941603796616,FALSE,1.43244603755024e-07
"cdf",0.5,-5,-1,5,0.333333333333333,0.0320970672612086,-0.820255990591091,-0.82025599059132,FALSE,2.78822642804363e-13
"cdf",0.5,-5,-1,5,1,0.0962912017836259,-0.370439350688724,-0.370439350688953,FALSE,6.17690763547892e-13
"cdf",0.5,-5,-1,5,3,0.288873605350878,-0.0763197589079202,-0.0763197589081488,FALSE,2.9946804166659e-12
"cdf",0.5,-2,-1,2,0.333333333333333,0.0690355937288492,-0.802440402335377,-0.802440402335378,FALSE,9.68490762648314e-16
"cdf",0.5,-2,-1,2,1,0.207106781186548,-0.344945812869811,-0.344945812869812,FALSE,2.57483461622808e-15
"cdf",0.5,-2,-1,2,3,0.621320343559643,-0.0530390450518343,-0.0530390450518353,FALSE,1.87081390188868e-14
"cdf",0.5,-1,-1,1,0.333333333333333,0.103005664791649,-0.79290309276197,-0.79290309276197,FALSE,2.80040028790365e-16
