"alpha","beta","gamma","q_factor","q","abs_z","val_series","val_integrate","val_dispatch","val_ref","val_ref_quad","series_returned_nan","rel_err_series","rel_err_integrate","rel_err_dispatch","ref_iterations","ref_reached_max"
1.5,1,-0.5,0.333333333333333,0.25,0.5,0.17383635498343,0.173836354984084,0.17383635498343,0.17383635498343,0.17383635498343,FALSE,3.19329930937342e-16,3.76298390616563e-12,3.19329930937342e-16,200,FALSE
3,1,-0.5,0.333333333333333,0.368702408408171,0.5,0.0519056337977358,0.0519056337977358,0.0519056337977358,0.0519056337977358,0.0519056337977358,FALSE,1.33682866313635e-16,1.33682866313635e-16,1.33682866313635e-16,200,FALSE
10,1,-0.5,0.333333333333333,0.704853036132038,0.5,0.000351328617141906,0.000351328617141907,0.000351328617141906,0.000351328617141906,0.000351328617141907,FALSE,1.23440234536611e-15,6.17201172683055e-16,1.23440234536611e-15,200,FALSE
0.3,1,0.5,0.333333333333333,0.177323504967498,0.5,0.572063781034899,0.572063781034898,0.572063781034899,0.572063781034899,0.572063781034899,FALSE,1.94073294173019e-16,1.94073294173019e-16,1.94073294173019e-16,200,FALSE
0.7,1,0.5,0.333333333333333,0.24322311037413,0.5,0.339744751228099,0.339744751228111,0.339744751228099,0.339744751228098,0.339744751228098,FALSE,3.26781508945159e-16,3.77432642831659e-14,3.26781508945159e-16,200,FALSE
1,1,0.5,0.333333333333333,0.281023443605751,0.5,0.243919872410813,0.243919872410813,0.243919872410813,0.243919872410813,0.243919872410813,FALSE,1.13789726688946e-16,1.13789726688946e-16,1.13789726688946e-16,200,FALSE
1.5,1,0.5,0.333333333333333,0.333333333333333,0.5,0.148415865804463,0.148415865804943,0.148415865804463,0.148415865804463,0.148415865804463,FALSE,0,3.22913942897776e-12,0,200,FALSE
3,1,0.5,0.333333333333333,0.452035741741504,0.5,0.0402231088115696,0.0402231088115696,0.0402231088115696,0.0402231088115696,0.0402231088115695,FALSE,5.17530402964131e-16,5.17530402964131e-16,5.17530402964131e-16,200,FALSE
10,1,0.5,0.333333333333333,0.788186369465371,0.5,0.000214522804981086,0.000214522804981086,0.000214522804981086,0.000214522804981086,0.000214522804981086,FALSE,7.58102738248106e-16,7.58102738248106e-16,7.58102738248106e-16,200,FALSE
0.3,1,2,0.333333333333333,0.377485177344559,2,0.436415494298042,0.436415494298042,0.436415494298042,0.436415494298042,0.436415494298042,FALSE,1.2719793856207e-16,3.81593815686211e-16,1.2719793856207e-16,200,FALSE
0.7,1,2,0.333333333333333,0.424865556413828,2,0.226855715152477,0.226855715152487,0.226855715152477,0.226855715152477,0.226855715152477,FALSE,3.67047075675041e-16,4.35562529801048e-14,3.67047075675041e-16,200,FALSE
1,1,2,0.333333333333333,0.45534180126148,2,0.154037316773764,0.154037316773764,0.154037316773764,0.154037316773764,0.154037316773764,FALSE,1.80187348085229e-16,1.80187348085229e-16,1.80187348085229e-16,200,FALSE
1.5,1,2,0.333333333333333,0.5,2,0.0878683152057931,0.0878683152059727,0.0878683152057931,0.0878683152057931,0.0878683152057931,FALSE,1.57938476176672e-16,2.04340800477378e-12,1.57938476176672e-16,200,FALSE
3,1,2,0.333333333333333,0.607625218510765,2,0.0210205303931407,0.0210205303931407,0.0210205303931407,0.0210205303931407,0.0210205303931407,FALSE,3.30100800223933e-16,3.30100800223933e-16,3.30100800223933e-16,200,FALSE
